 -- Frame 1 Framerate: 26.6 [Good Framerate]
 -- Frame 2 Framerate: 16.6 [Low Framerate]
 -- Frame 3 Framerate: 420.5 [Very Good Framerate]
 -- Frame 4 Framerate: 76.7 [Very Good Framerate]
 -- Frame 5 Framerate: 69.1 [Very Good Framerate]
 -- Frame 6 Framerate: 65.1 [Very Good Framerate]
 -- Frame 7 Framerate: 65.9 [Very Good Framerate]
 -- Frame 8 Framerate: 64.3 [Very Good Framerate]
 -- Frame 9 Framerate: 64.3 [Very Good Framerate]
 -- Frame 10 Framerate: 65.4 [Very Good Framerate]
 -- Frame 11 Framerate: 65.3 [Very Good Framerate]
 -- Frame 12 Framerate: 69.7 [Very Good Framerate]
 -- Frame 13 Framerate: 65.9 [Very Good Framerate]
 -- Frame 14 Framerate: 65.0 [Very Good Framerate]
 -- Frame 15 Framerate: 65.4 [Very Good Framerate]
 -- Frame 16 Framerate: 66.1 [Very Good Framerate]
 -- Frame 17 Framerate: 66.1 [Very Good Framerate]
 -- Frame 18 Framerate: 63.4 [Very Good Framerate]
 -- Frame 19 Framerate: 79.1 [Very Good Framerate]
 -- Frame 20 Framerate: 69.3 [Very Good Framerate]
 -- Frame 21 Framerate: 70.5 [Very Good Framerate]
 -- Frame 22 Framerate: 69.8 [Very Good Framerate]
 -- Frame 23 Framerate: 69.9 [Very Good Framerate]
 -- Frame 24 Framerate: 69.8 [Very Good Framerate]
 -- Frame 25 Framerate: 76.7 [Very Good Framerate]
 -- Frame 26 Framerate: 71.4 [Very Good Framerate]
 -- Frame 27 Framerate: 71.1 [Very Good Framerate]
 -- Frame 28 Framerate: 70.8 [Very Good Framerate]
 -- Frame 29 Framerate: 71.3 [Very Good Framerate]
 -- Frame 30 Framerate: 70.5 [Very Good Framerate]
 -- Frame 31 Framerate: 70.0 [Very Good Framerate]
 -- Frame 32 Framerate: 76.3 [Very Good Framerate]
 -- Frame 33 Framerate: 69.0 [Very Good Framerate]
 -- Frame 34 Framerate: 70.5 [Very Good Framerate]
 -- Frame 35 Framerate: 70.0 [Very Good Framerate]
 -- Frame 36 Framerate: 70.9 [Very Good Framerate]
 -- Frame 37 Framerate: 71.4 [Very Good Framerate]
 -- Frame 38 Framerate: 75.8 [Very Good Framerate]
 -- Frame 39 Framerate: 68.1 [Very Good Framerate]
 -- Frame 40 Framerate: 70.5 [Very Good Framerate]
 -- Frame 41 Framerate: 70.4 [Very Good Framerate]
 -- Frame 42 Framerate: 70.5 [Very Good Framerate]
 -- Frame 43 Framerate: 71.0 [Very Good Framerate]
 -- Frame 44 Framerate: 70.2 [Very Good Framerate]
 -- Frame 45 Framerate: 75.9 [Very Good Framerate]
 -- Frame 46 Framerate: 69.0 [Very Good Framerate]
 -- Frame 47 Framerate: 70.8 [Very Good Framerate]
 -- Frame 48 Framerate: 69.8 [Very Good Framerate]
 -- Frame 49 Framerate: 70.6 [Very Good Framerate]
 -- Frame 50 Framerate: 62.3 [Very Good Framerate]
 -- Frame 51 Framerate: 70.3 [Very Good Framerate]
 -- Frame 52 Framerate: 88.4 [Very Good Framerate]
 -- Frame 53 Framerate: 114.9 [Very Good Framerate]
 -- Frame 54 Framerate: 86.8 [Very Good Framerate]
 -- Frame 55 Framerate: 71.5 [Very Good Framerate]
 -- Frame 56 Framerate: 69.8 [Very Good Framerate]
 -- Frame 57 Framerate: 71.7 [Very Good Framerate]
 -- Frame 58 Framerate: 71.0 [Very Good Framerate]
 -- Frame 59 Framerate: 69.3 [Very Good Framerate]
 -- Frame 60 Framerate: 71.0 [Very Good Framerate]
 -- Frame 61 Framerate: 69.9 [Very Good Framerate]
 -- Frame 62 Framerate: 71.0 [Very Good Framerate]
 -- Frame 63 Framerate: 70.8 [Very Good Framerate]
 -- Frame 64 Framerate: 70.7 [Very Good Framerate]
 -- Frame 65 Framerate: 69.3 [Very Good Framerate]
 -- Frame 66 Framerate: 70.4 [Very Good Framerate]
 -- Frame 67 Framerate: 70.1 [Very Good Framerate]
 -- Frame 68 Framerate: 70.1 [Very Good Framerate]
 -- Frame 69 Framerate: 70.7 [Very Good Framerate]
 -- Frame 70 Framerate: 70.9 [Very Good Framerate]
 -- Frame 71 Framerate: 70.8 [Very Good Framerate]
 -- Frame 72 Framerate: 70.4 [Very Good Framerate]
 -- Frame 73 Framerate: 70.0 [Very Good Framerate]
 -- Frame 74 Framerate: 69.8 [Very Good Framerate]
 -- Frame 75 Framerate: 70.3 [Very Good Framerate]
 -- Frame 76 Framerate: 70.3 [Very Good Framerate]
 -- Frame 77 Framerate: 71.9 [Very Good Framerate]
 -- Frame 78 Framerate: 70.9 [Very Good Framerate]
 -- Frame 79 Framerate: 69.9 [Very Good Framerate]
 -- Frame 80 Framerate: 110.7 [Very Good Framerate]
 -- Frame 81 Framerate: 80.7 [Very Good Framerate]
 -- Frame 82 Framerate: 70.3 [Very Good Framerate]
 -- Frame 83 Framerate: 71.7 [Very Good Framerate]
 -- Frame 84 Framerate: 83.2 [Very Good Framerate]
 -- Frame 85 Framerate: 77.3 [Very Good Framerate]
 -- Frame 86 Framerate: 70.5 [Very Good Framerate]
 -- Frame 87 Framerate: 70.2 [Very Good Framerate]
 -- Frame 88 Framerate: 70.2 [Very Good Framerate]
 -- Frame 89 Framerate: 82.9 [Very Good Framerate]
 -- Frame 90 Framerate: 27.7 [Good Framerate]
 -- Frame 91 Framerate: 568.2 [Very Good Framerate]
 -- Frame 92 Framerate: 463.0 [Very Good Framerate]
 -- Frame 93 Framerate: 83.2 [Very Good Framerate]
 -- Frame 94 Framerate: 62.8 [Very Good Framerate]
 -- Frame 95 Framerate: 67.4 [Very Good Framerate]
 -- Frame 96 Framerate: 71.8 [Very Good Framerate]
 -- Frame 97 Framerate: 65.0 [Very Good Framerate]
 -- Frame 98 Framerate: 35.1 [Good Framerate]
 -- Frame 99 Framerate: 554.6 [Very Good Framerate]
 -- Frame 100 Framerate: 76.3 [Very Good Framerate]
 -- Frame 101 Framerate: 65.2 [Very Good Framerate]
 -- Frame 102 Framerate: 71.2 [Very Good Framerate]
 -- Frame 103 Framerate: 65.3 [Very Good Framerate]
 -- Frame 104 Framerate: 65.3 [Very Good Framerate]
 -- Frame 105 Framerate: 65.5 [Very Good Framerate]
 -- Frame 106 Framerate: 129.9 [Very Good Framerate]
 -- Frame 107 Framerate: 66.0 [Very Good Framerate]
 -- Frame 108 Framerate: 65.3 [Very Good Framerate]
 -- Frame 109 Framerate: 70.5 [Very Good Framerate]
 -- Frame 110 Framerate: 66.2 [Very Good Framerate]
 -- Frame 111 Framerate: 66.6 [Very Good Framerate]
 -- Frame 112 Framerate: 64.8 [Very Good Framerate]
 -- Frame 113 Framerate: 65.4 [Very Good Framerate]
 -- Frame 114 Framerate: 64.0 [Very Good Framerate]
 -- Frame 115 Framerate: 73.3 [Very Good Framerate]
 -- Frame 116 Framerate: 65.8 [Very Good Framerate]
 -- Frame 117 Framerate: 66.2 [Very Good Framerate]
 -- Frame 118 Framerate: 65.4 [Very Good Framerate]
 -- Frame 119 Framerate: 66.5 [Very Good Framerate]
 -- Frame 120 Framerate: 66.1 [Very Good Framerate]
 -- Frame 121 Framerate: 23.7 [Okay Framerate]
 -- Frame 122 Framerate: 516.8 [Very Good Framerate]
 -- Frame 123 Framerate: 76.2 [Very Good Framerate]
 -- Frame 124 Framerate: 65.2 [Very Good Framerate]
 -- Frame 125 Framerate: 71.3 [Very Good Framerate]
 -- Frame 126 Framerate: 66.7 [Very Good Framerate]
 -- Frame 127 Framerate: 67.6 [Very Good Framerate]
 -- Frame 128 Framerate: 65.5 [Very Good Framerate]
 -- Frame 129 Framerate: 66.2 [Very Good Framerate]
 -- Frame 130 Framerate: 64.8 [Very Good Framerate]
 -- Frame 131 Framerate: 70.8 [Very Good Framerate]
 -- Frame 132 Framerate: 62.1 [Very Good Framerate]
 -- Frame 133 Framerate: 66.9 [Very Good Framerate]
 -- Frame 134 Framerate: 71.4 [Very Good Framerate]
 -- Frame 135 Framerate: 69.9 [Very Good Framerate]
 -- Frame 136 Framerate: 65.7 [Very Good Framerate]
 -- Frame 137 Framerate: 67.0 [Very Good Framerate]
 -- Frame 138 Framerate: 66.9 [Very Good Framerate]
 -- Frame 139 Framerate: 86.5 [Very Good Framerate]
 -- Frame 140 Framerate: 74.1 [Very Good Framerate]
 -- Frame 141 Framerate: 66.8 [Very Good Framerate]
 -- Frame 142 Framerate: 64.3 [Very Good Framerate]
 -- Frame 143 Framerate: 68.6 [Very Good Framerate]
 -- Frame 144 Framerate: 66.2 [Very Good Framerate]
 -- Frame 145 Framerate: 66.3 [Very Good Framerate]
 -- Frame 146 Framerate: 67.1 [Very Good Framerate]
 -- Frame 147 Framerate: 66.9 [Very Good Framerate]
 -- Frame 148 Framerate: 63.9 [Very Good Framerate]
 -- Frame 149 Framerate: 71.7 [Very Good Framerate]
 -- Frame 150 Framerate: 67.0 [Very Good Framerate]
 -- Frame 151 Framerate: 62.0 [Very Good Framerate]
 -- Frame 152 Framerate: 72.5 [Very Good Framerate]
 -- Frame 153 Framerate: 29.6 [Good Framerate]
 -- Frame 154 Framerate: 299.5 [Very Good Framerate]
 -- Frame 155 Framerate: 75.6 [Very Good Framerate]
 -- Frame 156 Framerate: 68.2 [Very Good Framerate]
 -- Frame 157 Framerate: 89.7 [Very Good Framerate]
 -- Frame 158 Framerate: 78.8 [Very Good Framerate]
 -- Frame 159 Framerate: 68.2 [Very Good Framerate]
 -- Frame 160 Framerate: 71.9 [Very Good Framerate]
 -- Frame 161 Framerate: 67.8 [Very Good Framerate]
 -- Frame 162 Framerate: 67.2 [Very Good Framerate]
 -- Frame 163 Framerate: 66.9 [Very Good Framerate]
 -- Frame 164 Framerate: 68.1 [Very Good Framerate]
 -- Frame 165 Framerate: 67.2 [Very Good Framerate]
 -- Frame 166 Framerate: 67.1 [Very Good Framerate]
 -- Frame 167 Framerate: 66.9 [Very Good Framerate]
 -- Frame 168 Framerate: 63.6 [Very Good Framerate]
 -- Frame 169 Framerate: 72.1 [Very Good Framerate]
 -- Frame 170 Framerate: 73.7 [Very Good Framerate]
 -- Frame 171 Framerate: 71.0 [Very Good Framerate]
 -- Frame 172 Framerate: 72.5 [Very Good Framerate]
 -- Frame 173 Framerate: 73.0 [Very Good Framerate]
 -- Frame 174 Framerate: 73.8 [Very Good Framerate]
 -- Frame 175 Framerate: 71.9 [Very Good Framerate]
 -- Frame 176 Framerate: 72.1 [Very Good Framerate]
 -- Frame 177 Framerate: 74.2 [Very Good Framerate]
 -- Frame 178 Framerate: 71.0 [Very Good Framerate]
 -- Frame 179 Framerate: 72.2 [Very Good Framerate]
 -- Frame 180 Framerate: 72.1 [Very Good Framerate]
 -- Frame 181 Framerate: 71.7 [Very Good Framerate]
 -- Frame 182 Framerate: 73.3 [Very Good Framerate]
 -- Frame 183 Framerate: 74.5 [Very Good Framerate]
 -- Frame 184 Framerate: 70.9 [Very Good Framerate]
 -- Frame 185 Framerate: 73.2 [Very Good Framerate]
 -- Frame 186 Framerate: 72.4 [Very Good Framerate]
 -- Frame 187 Framerate: 73.1 [Very Good Framerate]
 -- Frame 188 Framerate: 73.1 [Very Good Framerate]
 -- Frame 189 Framerate: 74.3 [Very Good Framerate]
 -- Frame 190 Framerate: 71.3 [Very Good Framerate]
 -- Frame 191 Framerate: 72.3 [Very Good Framerate]
 -- Frame 192 Framerate: 74.0 [Very Good Framerate]
 -- Frame 193 Framerate: 72.8 [Very Good Framerate]
 -- Frame 194 Framerate: 72.8 [Very Good Framerate]
 -- Frame 195 Framerate: 74.3 [Very Good Framerate]
 -- Frame 196 Framerate: 74.7 [Very Good Framerate]
 -- Frame 197 Framerate: 71.3 [Very Good Framerate]
 -- Frame 198 Framerate: 73.0 [Very Good Framerate]
 -- Frame 199 Framerate: 73.4 [Very Good Framerate]
 -- Frame 200 Framerate: 73.0 [Very Good Framerate]
 -- Frame 201 Framerate: 75.1 [Very Good Framerate]
 -- Frame 202 Framerate: 75.1 [Very Good Framerate]
 -- Frame 203 Framerate: 46.4 [Very Good Framerate]
 -- Frame 204 Framerate: 167.1 [Very Good Framerate]
 -- Frame 205 Framerate: 74.7 [Very Good Framerate]
 -- Frame 206 Framerate: 77.5 [Very Good Framerate]
 -- Frame 207 Framerate: 65.8 [Very Good Framerate]
 -- Frame 208 Framerate: 66.7 [Very Good Framerate]
 -- Frame 209 Framerate: 67.0 [Very Good Framerate]
